Run	R to R'	R to R''	R' to R''	Real to R (proteins)
Random97	0.420239	0.402552	0.176973	0.726813
Random98	0.45856	0.441786	0.175071	0.746543
Random99	0.500743	0.479649	0.214298	0.708042
Random100	0.499224	0.484482	0.185017	0.754494
Random101	0.335394	0.315529	0.133377	0.738833
Random102	0.417655	0.396043	0.180085	0.744858
Random103	0.439208	0.423806	0.183948	0.759148
Random104	0.478187	0.468358	0.176863	0.753521
Random105	0.352662	0.330493	0.138478	0.740981
Random106	0.491521	0.477073	0.178936	0.606807
Random107	0.420124	0.400664	0.161875	0.662792
Random108	0.395543	0.369089	0.167663	0.689463
Random109	0.465621	0.444494	0.198197	0.677601
Random110	0.427854	0.403985	0.186364	0.736187
Random111	0.420766	0.39219	0.180123	0.654318
Random112	0.450714	0.430474	0.179076	0.712537
Random113	0.416498	0.383798	0.194412	0.743802
Random114	0.458922	0.444001	0.174842	0.786393
Random115	0.326585	0.30728	0.143334	0.725667
Random116	0.462593	0.436298	0.188999	0.719908
Random117	0.506693	0.478088	0.22746	0.728426
Random118	0.467797	0.446191	0.175456	0.737225
Random119	0.486709	0.468384	0.177623	0.775962
Random120	0.373851	0.35302	0.191615	0.720417
Random121	0.397789	0.378488	0.162133	0.742015
Random122	0.474547	0.462916	0.147838	0.686619
Random123	0.383748	0.349758	0.196387	0.695401
Random124	0.42598	0.406421	0.186408	0.70483
Random125	0.373208	0.350742	0.165318	0.697483
Random126	0.426788	0.409334	0.194975	0.758076
Random127	0.351685	0.335319	0.134197	0.762548
Random128	0.420554	0.405974	0.161086	0.741922
Random129	0.409964	0.389858	0.190377	0.708931
Random130	0.426232	0.397935	0.194743	0.731073
Random131	0.419497	0.390926	0.177648	0.73104
Random132	0.380998	0.355188	0.197949	0.70011
Random133	0.435746	0.414218	0.178107	0.732514
Random134	0.443344	0.412662	0.206596	0.735284
Random135	0.411079	0.368743	0.218518	0.724102
Random136	0.500677	0.486333	0.221609	0.710503
Random137	0.468896	0.437993	0.207858	0.752082
Random138	0.492688	0.476263	0.200305	0.733731
Random139	0.454159	0.432716	0.182125	0.763981
Random140	0.470824	0.452012	0.158349	0.757207
Random141	0.450909	0.428804	0.200221	0.593277
Random142	0.348525	0.332684	0.187609	0.730345
Random143	0.452092	0.432595	0.17135	0.742081
Random144	0.423259	0.396043	0.216464	0.733478
Random145	0.369317	0.351242	0.145197	0.748835
Random146	0.478375	0.455848	0.174232	0.755862
Random147	0.424727	0.402534	0.185521	0.761945
Random148	0.519914	0.50733	0.191472	0.762615
Random149	0.454059	0.44591	0.11449	0.769403
Random150	0.457915	0.43948	0.184306	0.742108
Random151	0.332178	0.318213	0.118812	0.765348
Random152	0.444877	0.427787	0.196697	0.724477
Random153	0.412887	0.388784	0.187907	0.683299
Random154	0.474908	0.448651	0.189323	0.721686
Random155	0.457116	0.43942	0.170571	0.757629
Random156	0.481984	0.454104	0.194785	0.637997
Random157	0.394854	0.374188	0.14883	0.728217
Random158	0.470088	0.440353	0.225982	0.727858
Random159	0.419795	0.386994	0.230776	0.728349
Random160	0.509311	0.489993	0.200655	0.690299
Random161	0.536967	0.528104	0.236397	0.764769
Random162	0.433371	0.402977	0.177632	0.729706
Random163	0.470188	0.445871	0.179534	0.685845
Random164	0.483871	0.475323	0.157674	0.770174
Random165	0.439794	0.423033	0.144015	0.768445
Random166	0.419472	0.396376	0.218608	0.770202
Random167	0.390336	0.370141	0.188182	0.713987
Random168	0.453104	0.432414	0.191711	0.716571
Random169	0.462641	0.437065	0.221034	0.707534
Random170	0.481807	0.461397	0.203905	0.737738
Random171	0.424894	0.408056	0.179868	0.742895
Random172	0.469275	0.453475	0.191333	0.735893
Random173	0.291093	0.275306	0.138128	0.718469
Random174	0.39418	0.373862	0.192866	0.757884
Random175	0.510506	0.488049	0.233091	0.754768
Random176	0.430863	0.399535	0.221201	0.727224
Random177	0.503242	0.49059	0.141766	0.71243
Random178	0.454313	0.435028	0.162821	0.728949
Random179	0.449246	0.431389	0.181236	0.745202
Random180	0.389099	0.366115	0.170302	0.70381
Random181	0.496774	0.484963	0.202703	0.78298
Random182	0.474776	0.444188	0.224658	0.729669
Random183	0.450422	0.435702	0.172612	0.696667
Random184	0.444851	0.413182	0.202369	0.724391
Random185	0.589858	0.573592	0.230851	0.774543
Random186	0.458984	0.435311	0.159504	0.748131
Random187	0.418441	0.405056	0.152973	0.743867
Random188	0.524773	0.505992	0.212072	0.622828
Random189	0.277691	0.259203	0.125522	0.712758
Random190	0.468019	0.440931	0.204403	0.717013
Random191	0.477833	0.455081	0.21522	0.76363
Random192	0.466132	0.446308	0.218902	0.737525
Random193	0.466543	0.457217	0.135486	0.759582
Random194	0.399528	0.383872	0.164332	0.73339
Random195	0.44931	0.427688	0.220446	0.743442
Random196	0.489394	0.476966	0.191092	0.748908
Random197	0.393479	0.361198	0.193726	0.738911
Random198	0.487738	0.458701	0.199745	0.6895
Random199	0.431366	0.400446	0.197382	0.737999
Random200	0.429501	0.405248	0.196019	0.737216
Random201	0.492987	0.468506	0.212452	0.769612
Random202	0.444372	0.422681	0.219856	0.73894
Random203	0.424558	0.405687	0.173811	0.735095
Random204	0.456289	0.436268	0.169677	0.741191
Random205	0.493255	0.483931	0.167333	0.767762
Random206	0.357357	0.331049	0.163239	0.753829
Random207	0.423676	0.398744	0.184623	0.751036
Random208	0.377017	0.357141	0.14471	0.754235
Random209	0.392889	0.373551	0.147259	0.745407
Random210	0.458532	0.439875	0.236657	0.75953
Random211	0.498512	0.485114	0.201	0.743132
Random212	0.453486	0.438979	0.161305	0.734154
Random213	0.46176	0.431486	0.197316	0.701167
Random214	0.500992	0.487277	0.189324	0.747232
Random215	0.413237	0.398189	0.170397	0.749376
Random216	0.39708	0.37477	0.168329	0.722046
Random217	0.378612	0.368644	0.109868	0.75843
Random218	0.453431	0.424847	0.213811	0.7394
Random219	0.417933	0.398925	0.189596	0.748167
Random220	0.493819	0.473537	0.182025	0.746107
Random221	0.469518	0.447903	0.180027	0.703308
Random222	0.478897	0.472538	0.199925	0.758655
Random223	0.406121	0.379773	0.202124	0.626927
Random224	0.515397	0.490474	0.242624	0.761774
Random225	0.437751	0.412369	0.176301	0.70419
Random226	0.420567	0.398518	0.168013	0.730398
Random227	0.46108	0.444872	0.189374	0.727167
Random228	0.468289	0.45002	0.172421	0.745905
Random229	0.494449	0.475446	0.187117	0.709023
Random230	0.461015	0.440364	0.203087	0.721482
Random231	0.46201	0.431039	0.223273	0.681099
Random232	0.427515	0.399195	0.205832	0.574038
Random233	0.483367	0.469593	0.192695	0.773757
Random234	0.454456	0.434821	0.174057	0.687117
Random235	0.528477	0.512327	0.17476	0.758618
Random236	0.433696	0.406291	0.198789	0.710727
Random237	0.395421	0.377598	0.155738	0.762845
Random238	0.500712	0.48684	0.182421	0.751588
Random239	0.525096	0.510958	0.191637	0.726166
Random240	0.470206	0.447876	0.194666	0.685301
Random241	0.496913	0.477232	0.215169	0.769628
Random242	0.42695	0.404408	0.185566	0.693705
Random243	0.464474	0.448347	0.158882	0.753652
Random244	0.240317	0.226427	0.10501	0.738081
Random245	0.460338	0.434574	0.186687	0.736632
Random246	0.458148	0.444076	0.192187	0.746192
Random247	0.453678	0.437757	0.163646	0.772119
Random248	0.505954	0.48859	0.2097	0.761327
Random249	0.46303	0.436079	0.201461	0.705704
