Run	R to R'	R to R''	R' to R''	Real to R (proteins)
Random476	14960.9	14576	5325.3	8532.9
Random477	12041.1	11886.3	3797.77	8686.05
Random478	4647.47	4452.65	1570.37	5450.48
Random479	5690.22	5457.78	2263.06	6882.73
Random480	12362	12019.2	4133.85	8100.5
Random481	6446.93	6221.21	1958.8	9223.34
Random482	9210.7	9024.93	4072.14	8123.4
Random483	6057.77	5862.22	2096.34	6103.02
Random484	8414.65	8207.86	2969.31	6727.82
Random485	5797.03	5621.13	2024.18	5864.27
Random486	6830.06	6653.77	2518.72	7164.01
Random487	5671.25	5534.35	1748.41	6479.55
Random488	8091	7857.55	2811.4	7276.16
Random489	8222.87	8026.37	2631.84	7663.49
Random490	8045.53	7891.92	2387.66	6298.33
Random491	12403	12228.8	4284.72	6564.06
Random492	11075.6	10715.4	4475.73	9152.63
Random493	5379.19	5244.67	1844.35	7384.1
Random494	9201.84	8987.62	3381.81	8304.85
Random495	8932.66	8696.7	3141.06	8054.45
Random496	9373.68	9078.31	3206.74	6802.94
Random497	9420.47	9236.06	3092.81	7139.49
Random498	7169.1	7003.83	2322.52	6080.94
Random499	10174.7	9740.82	4341.01	7571.6
Random500	10095.9	9774.22	3594.69	8058.97
P-value for R to R': 0.024
