CopyNumbers	CumulativeDistributionFunction
159450 0.771520099
159550 0.771623437
159650 0.771726775
160250 0.772036788
160350 0.772140126
160550 0.772346802
160650 0.77245014
160950 0.772656815
161050 0.772760153
161150 0.772863491
161250 0.773070166
161350 0.773276842
161550 0.77338018
161650 0.773483518
161850 0.773586855
161950 0.773690193
162050 0.774000207
162350 0.774103544
162550 0.774206882
162650 0.774413558
162750 0.774516896
162850 0.774620234
163050 0.774723571
163250 0.774826909
163550 0.774930247
163750 0.775033585
163850 0.775136923
163950 0.775343598
164050 0.775446936
164350 0.775550274
164650 0.775653612
164750 0.775860287
164950 0.775963625
165150 0.776066963
165250 0.776273639
166150 0.776480314
166650 0.77668699
166850 0.776790328
167350 0.776893665
167650 0.776997003
167850 0.777100341
168050 0.777307017
168250 0.777513692
168350 0.77761703
168550 0.777720368
168850 0.777823706
168950 0.777927044
169050 0.778030381
169350 0.778237057
169650 0.778340395
169750 0.778443733
169850 0.77854707
169950 0.778650408
170250 0.778960422
170350 0.779167097
170550 0.779373773
170750 0.779477111
171250 0.779580448
171450 0.779787124
171650 0.779890462
171950 0.7799938
172150 0.780097138
172250 0.780407151
172650 0.780510489
172850 0.780613827
173150 0.780717164
173350 0.780820502
173550 0.781027178
173850 0.781130516
174150 0.781337191
174250 0.781647205
174550 0.78185388
174650 0.781957218
174750 0.782060556
175050 0.782163894
175250 0.782267232
175350 0.782370569
175750 0.782577245
175850 0.782680583
175950 0.782783921
176250 0.782887258
176350 0.783093934
176550 0.78330061
176750 0.783403948
177450 0.783507285
177550 0.783610623
177650 0.783713961
177850 0.783817299
178250 0.783920637
178350 0.784023974
178450 0.784127312
178750 0.78423065
179350 0.784333988
179550 0.784437326
179650 0.784540663
179950 0.784644001
180050 0.784747339
180450 0.784850677
180650 0.785057352
180750 0.78516069
180850 0.785264028
181150 0.785367366
181450 0.785470704
181750 0.785574042
182350 0.785884055
182550 0.786090731
182650 0.786194068
182850 0.786297406
183050 0.786400744
183150 0.786710757
183250 0.786814095
183350 0.787020771
183650 0.787124109
184050 0.787227447
184350 0.787434122
184750 0.78753746
184850 0.787640798
184950 0.787744136
185150 0.787847473
185350 0.787950811
185650 0.788054149
185850 0.788157487
186050 0.788260825
186150 0.788364162
186450 0.788570838
186950 0.788674176
187050 0.788777514
187250 0.788880852
187550 0.789087527
187750 0.789190865
188050 0.789294203
188450 0.789397541
188550 0.789604216
188850 0.789707554
189150 0.789810892
189450 0.78991423
189550 0.790017567
189750 0.790224243
189850 0.790430919
190150 0.790534256
190250 0.790637594
190350 0.790740932
190450 0.79084427
191050 0.790947608
191150 0.791050946
191350 0.791154283
191450 0.791360959
191550 0.791464297
191750 0.791567635
191950 0.791670972
192050 0.79177431
192250 0.791877648
192350 0.791980986
192650 0.792290999
192850 0.792394337
193950 0.792497675
194250 0.792601013
194350 0.792807688
194550 0.792911026
194750 0.793014364
194850 0.793117702
194950 0.793324377
195050 0.793531053
195450 0.793634391
195650 0.793737729
195750 0.793841066
196050 0.794047742
196150 0.79415108
196350 0.794254418
196950 0.794357756
197350 0.794461093
197450 0.794564431
197950 0.794667769
198050 0.794771107
198150 0.794977782
198250 0.79508112
198850 0.795287796
199150 0.795391134
199250 0.795597809
199350 0.795701147
199750 0.795804485
199850 0.79601116
200250 0.796114498
200350 0.796217836
200650 0.796321174
200750 0.796424512
200950 0.79652785
201050 0.796631187
201250 0.796734525
201350 0.796941201
201450 0.797044539
201650 0.797147876
201750 0.79745789
202150 0.797561228
202250 0.797664565
202750 0.797767903
202850 0.797871241
202950 0.798077917
203050 0.798181255
203150 0.798284592
203250 0.79838793
203350 0.798491268
203450 0.798697944
203850 0.798801281
204350 0.798904619
204750 0.799007957
204850 0.799111295
205750 0.799214633
206050 0.799421308
206750 0.799524646
207150 0.799627984
207450 0.799731322
207550 0.79983466
207650 0.799937997
208350 0.800041335
208550 0.800248011
208650 0.800351349
208850 0.800454686
209150 0.800661362
209250 0.800868038
209550 0.800971375
209750 0.801074713
209850 0.801178051
210150 0.801281389
210250 0.801384727
210450 0.801591402
210650 0.801798078
210750 0.801901416
210850 0.802004754
211150 0.802108091
211250 0.802211429
211850 0.802314767
212050 0.802418105
212350 0.802521443
212450 0.80262478
212650 0.802728118
212850 0.802831456
213250 0.802934794
213550 0.803244807
213850 0.803348145
214050 0.803451483
214250 0.803554821
214350 0.803658159
214450 0.803761496
214550 0.803864834
214750 0.803968172
215450 0.80407151
215650 0.804174848
215850 0.804381523
215950 0.804484861
216050 0.804691537
216450 0.804898212
216550 0.80500155
216650 0.805104888
217050 0.805208226
217450 0.805311564
217650 0.805414901
217750 0.805518239
217850 0.805621577
218150 0.805724915
218650 0.805828253
218850 0.80593159
218950 0.806034928
219550 0.806138266
219950 0.806241604
220050 0.806344942
220550 0.806448279
220750 0.806654955
220850 0.806758293
220950 0.806861631
221050 0.806964968
221150 0.807068306
221550 0.807171644
222550 0.807481658
222750 0.807688333
223250 0.807791671
223350 0.808101684
223550 0.80830836
223950 0.808411698
224050 0.808618373
224150 0.808825049
