CopyNumber	CumulativeDistributionFunction
   5.6533546e+04   5.4852824e-01
   5.6683701e+04   5.4912490e-01
   5.6833857e+04   5.4972156e-01
   5.7134168e+04   5.5011933e-01
   5.7284323e+04   5.5031822e-01
   5.7434479e+04   5.5071599e-01
   5.7584634e+04   5.5151154e-01
   5.7734790e+04   5.5230708e-01
   5.7884945e+04   5.5270485e-01
   5.8035101e+04   5.5369928e-01
   5.8185256e+04   5.5389817e-01
   5.8335412e+04   5.5409706e-01
   5.8485567e+04   5.5469372e-01
   5.8635723e+04   5.5548926e-01
   5.8785878e+04   5.5608592e-01
   5.8936034e+04   5.5668258e-01
   5.9236345e+04   5.5688146e-01
   5.9386500e+04   5.5767701e-01
   5.9536656e+04   5.5787589e-01
   5.9686811e+04   5.5807478e-01
   5.9836967e+04   5.5867144e-01
   5.9987122e+04   5.5906921e-01
   6.0137278e+04   5.5946698e-01
   6.0287433e+04   5.5966587e-01
   6.0437589e+04   5.6046142e-01
   6.0587744e+04   5.6085919e-01
   6.0737900e+04   5.6185362e-01
   6.0888055e+04   5.6245028e-01
   6.1038211e+04   5.6344471e-01
   6.1188366e+04   5.6443914e-01
   6.1338522e+04   5.6463803e-01
   6.1488677e+04   5.6483691e-01
   6.1638833e+04   5.6563246e-01
   6.1788988e+04   5.6583134e-01
   6.1939144e+04   5.6742243e-01
   6.2089299e+04   5.6801909e-01
   6.2239455e+04   5.6841687e-01
   6.2389610e+04   5.6861575e-01
   6.2539766e+04   5.6921241e-01
   6.2689921e+04   5.7000796e-01
   6.2840077e+04   5.7080350e-01
   6.3140388e+04   5.7100239e-01
   6.3290543e+04   5.7120127e-01
   6.3590854e+04   5.7259348e-01
   6.3741010e+04   5.7299125e-01
   6.3891165e+04   5.7319014e-01
   6.4041321e+04   5.7358791e-01
   6.4191476e+04   5.7378679e-01
   6.4341632e+04   5.7458234e-01
   6.4491787e+04   5.7498011e-01
   6.4641943e+04   5.7537788e-01
   6.4792098e+04   5.7577566e-01
   6.4942254e+04   5.7597454e-01
   6.5092409e+04   5.7617343e-01
   6.5242565e+04   5.7657120e-01
   6.5392720e+04   5.7696897e-01
   6.5542876e+04   5.7716786e-01
   6.5693031e+04   5.7776452e-01
   6.5843187e+04   5.7836118e-01
   6.6143498e+04   5.7856006e-01
   6.6293653e+04   5.7915672e-01
   6.6593964e+04   5.7955449e-01
   6.6744120e+04   5.7975338e-01
   6.6894275e+04   5.7995227e-01
   6.7044431e+04   5.8015115e-01
   6.7344742e+04   5.8035004e-01
   6.7494897e+04   5.8074781e-01
   6.7645053e+04   5.8134447e-01
   6.7795208e+04   5.8174224e-01
   6.7945364e+04   5.8214002e-01
   6.8095519e+04   5.8273667e-01
   6.8245675e+04   5.8313445e-01
   6.8395830e+04   5.8392999e-01
   6.8545986e+04   5.8432776e-01
   6.8696141e+04   5.8472554e-01
   6.8846297e+04   5.8532220e-01
   6.9296763e+04   5.8591885e-01
   6.9446919e+04   5.8611774e-01
   6.9747230e+04   5.8651551e-01
   6.9897385e+04   5.8691329e-01
   7.0047541e+04   5.8750994e-01
   7.0197696e+04   5.8770883e-01
   7.0347852e+04   5.8810660e-01
   7.0498007e+04   5.8830549e-01
   7.0648163e+04   5.8850438e-01
   7.0798318e+04   5.8870326e-01
   7.1098629e+04   5.8890215e-01
   7.1248785e+04   5.8929992e-01
   7.1398940e+04   5.8949881e-01
   7.1699251e+04   5.8989658e-01
   7.1849407e+04   5.9029435e-01
   7.1999562e+04   5.9089101e-01
   7.2149718e+04   5.9128878e-01
   7.2600184e+04   5.9208433e-01
   7.2750340e+04   5.9228321e-01
   7.3050651e+04   5.9268099e-01
   7.3200806e+04   5.9307876e-01
   7.3501117e+04   5.9367542e-01
   7.3801428e+04   5.9407319e-01
   7.3951584e+04   5.9427208e-01
   7.4101739e+04   5.9486874e-01
   7.4251895e+04   5.9526651e-01
   7.4402050e+04   5.9566428e-01
   7.4552206e+04   5.9586317e-01
   7.4852517e+04   5.9645982e-01
   7.5152828e+04   5.9685760e-01
   7.5302983e+04   5.9705648e-01
   7.5453139e+04   5.9745426e-01
   7.5603294e+04   5.9765314e-01
   7.5903605e+04   5.9785203e-01
   7.6053761e+04   5.9805091e-01
   7.6203916e+04   5.9844869e-01
   7.6504227e+04   5.9864757e-01
   7.6654383e+04   5.9884646e-01
   7.6954694e+04   5.9924423e-01
